Frequency,Resource
13,/manager/html
9,/phpmyadmin/scripts/setup.php
8,/phpMyAdmin/scripts/setup.php
8,/main.php?basepath=
7,/pma/scripts/setup.php
6,/wls-wsat/CoordinatorPortType
5,/phpmyadmin/scripts/_setup.php
5,/php-my-admin/scripts/setup.php
5,/scripts/setup.php
5,/phpMyAdmin/scripts/_setup.php
