Number of Hits,Countries
Over 1000,"['Brazil', 'Italy', 'Germany', 'Croatia', 'Ukraine']"
501-1000,"['Indonesia', 'Bangladesh', 'Netherlands', 'Singapore', 'Poland', 'Thailand']"
301-500,"['Japan', 'Chile', 'Spain', 'Bulgaria', 'Colombia', 'Taiwan']"
101-300,"['Argentina', 'Kuwait', 'South Africa', 'Ecuador', 'Egypt', 'Hungary', 'Australia', 'Mexico', 'Ireland', 'Kenya', 'Malaysia', 'Czech Republic', 'Romania', 'Turkey', 'Seychelles', 'Paraguay']"
51-100,"['Iran, Islamic Republic of', 'Sweden', 'Philippines', 'Austria', 'Kazakhstan', 'Mongolia', 'Switzerland', 'Montenegro', 'Belgium', 'Malawi', 'Nigeria', 'Albania', 'Botswana', 'Pakistan', 'Venezuela']"
1-50,"['Belarus', 'Dominican Republic', 'Norway', 'Denmark', 'Nepal', 'Guatemala', 'Armenia', 'Portugal', 'Serbia', 'Latvia', 'Slovakia', 'Tunisia', 'Slovenia', 'Netherlands Antilles', 'Finland', 'Bhutan', 'Jamaica', 'Cyprus', 'Uruguay', 'Senegal', ""Lao People's Democratic Republic"", 'Israel', 'Cambodia', 'United Arab Emirates', 'Nicaragua', 'Ghana', 'Uzbekistan', 'Bosnia and Herzegovina', 'Europe', 'Angola', 'Lithuania', 'Morocco', 'Azerbaijan', 'Peru', '', 'Panama', 'New Zealand', 'Antigua and Barbuda', 'Mauritania', 'Kyrgyzstan', 'Tanzania, United Republic of', 'Zambia', 'Estonia', 'Moldova, Republic of', 'Trinidad and Tobago', 'Myanmar', 'Niger', 'Jordan', 'Saudi Arabia', 'Belize', 'Greece']"
