Number of Hits,Countries
Over 100,"['Egypt', 'Bangladesh', 'Thailand', 'Ukraine', 'Nigeria', 'Philippines', 'Hong Kong', 'Iraq', 'Saudi Arabia', 'Dominican Republic']"
51-100,"['Pakistan', 'Japan', 'Iran, Islamic Republic of', 'Mexico', 'United Kingdom', 'Canada', 'France']"
31-50,"['Chile', 'Colombia', 'Sri Lanka', 'Costa Rica', 'Kazakhstan', 'Kuwait']"
11-30,"['Korea, Republic of', 'Uzbekistan', 'Germany', 'Portugal', 'Ecuador', 'Armenia', 'Mongolia', 'Sudan', 'Poland', 'Seychelles', 'Argentina', 'Bolivia', 'United Arab Emirates', 'Ethiopia', 'Cambodia', 'Kyrgyzstan', 'Italy']"
1-10,"['Spain', 'Paraguay', 'Ireland', 'South Africa', 'Unknown', 'Sweden', 'Lithuania', 'Netherlands', 'Angola', 'Switzerland', 'Iceland', 'Bulgaria', 'El Salvador', 'Croatia', 'Qatar', 'Malta', 'Israel', 'Romania', 'Malaysia']"
