Coords,Country,Frequency
"[14.058324, 108.277199]",Vietnam,1559
"[20.593684, 78.96288]",India,1103
"[61.52401, 105.318756]",Russian Federation,1057
"[-0.789275, 113.921327]",Indonesia,940
"[6.42375, -66.58973]",Venezuela,732
"[-14.235004, -51.92528]",Brazil,610
"[37.09024, -95.712891]",United States,609
"[35.86166, 104.195397]",China,414
"[23.69781, 120.960515]",Taiwan,341
"[38.963745, 35.243322]",Turkey,287
