Coords,Country,Frequency
"[37.09024, -95.712891]",United States,2192
"[52.132633, 5.291266]",Netherlands,809
"[35.86166, 104.195397]",China,699
"[61.52401, 105.318756]",Russian Federation,96
"[22.396428, 114.109497]",Hong Kong,78
"[-0.789275, 113.921327]",Indonesia,69
"[-14.235004, -51.92528]",Brazil,55
"[46.227638, 2.213749]",France,39
"[-4.679574, 55.491977]",Seychelles,28
"[60.128161, 18.643501]",Sweden,27
