Frequency,Resource
27,/manager/html
24,/wls-wsat/CoordinatorPortType
14,http://192.250.236.104:80/PMA/
14,http://192.250.236.104:80/dbadmin/
14,http://192.250.236.104:80/pma/
14,http://192.250.236.104:80/db/
14,http://192.250.236.104:80/phpmyadmin/
13,/phpMyAdmin/scripts/setup.php
13,/phpmyadmin/scripts/setup.php
10,/pma/scripts/setup.php
